849,s1 (675 . 83),s2 (334 . 111),s3 (144 . 311),s5 (374 . 278),
807,s2 (334 . 111),s3 (144 . 311),s5 (374 . 278),a 13 (254 . 554),
1149,s1 (675 . 83),s2 (334 . 111),s3 (144 . 311),s5 (374 . 278),a 13 (254 . 554),
617,s1 (675 . 83),s2 (334 . 111),s3 (144 . 311),
